Timestamp,WU Local time,Temp,Dew Point,Humidity,Pressure,Visibility,Wind Direction,Wind Speed,Gust Speed,Precipitation,Events,Conditions
1498892160,7/1/2017 12:56 AM,1.0 °F,1.0 °F,100%,30.28 in,  -,SSE,9.2 mph,  -,N/A,	 ,Unknown
1498895760,7/1/2017 1:56 AM,  -,  -,N/A%,30.27 in,  -,SSE,9.2 mph,  -,N/A,	 ,Unknown
1498899360,7/1/2017 2:56 AM,  -,  -,N/A%,30.25 in,  -,South,8.1 mph,  -,N/A,	 ,Unknown
1498902960,7/1/2017 3:56 AM,  -,  -,N/A%,30.24 in,  -,SSE,10.4 mph,  -,N/A,	 ,Unknown
1498906560,7/1/2017 4:56 AM,  -,  -,N/A%,30.25 in,  -,SSE,9.2 mph,  -,N/A,	 ,Unknown
1498910160,7/1/2017 5:56 AM,  -,  -,N/A%,30.26 in,  -,South,9.2 mph,  -,N/A,	 ,Unknown
1498913760,7/1/2017 6:56 AM,  -,  -,N/A%,30.28 in,  -,South,9.2 mph,  -,N/A,	 ,Unknown
1498917360,7/1/2017 7:56 AM,  -,  -,N/A%,30.28 in,  -,South,12.7 mph,  -,N/A,	 ,Unknown
1498920960,7/1/2017 8:56 AM,  -,  -,N/A%,30.27 in,  -,South,16.1 mph,21.9 mph,N/A,	 ,Unknown
1498924560,7/1/2017 9:56 AM,  -,  -,N/A%,30.24 in,  -,South,19.6 mph,  -,N/A,	 ,Unknown
1498928160,7/1/2017 10:56 AM,  -,  -,N/A%,30.23 in,  -,South,10.4 mph,19.6 mph,N/A,	 ,Unknown
1498931760,7/1/2017 11:56 AM,  -,  -,N/A%,30.22 in,  -,South,15.0 mph,19.6 mph,N/A,	 ,Unknown
1498935360,7/1/2017 12:56 PM,  -,  -,N/A%,30.20 in,  -,SSW,11.5 mph,20.7 mph,N/A,	 ,Unknown
1498938960,7/1/2017 1:56 PM,  -,  -,N/A%,30.17 in,  -,SSW,11.5 mph,17.3 mph,N/A,	 ,Unknown
1498942560,7/1/2017 2:56 PM,  -,  -,N/A%,30.15 in,  -,SSE,9.2 mph,19.6 mph,N/A,	 ,Unknown
1498946160,7/1/2017 3:56 PM,  -,  -,N/A%,30.12 in,  -,SSW,12.7 mph,18.4 mph,N/A,	 ,Unknown
1498949760,7/1/2017 4:56 PM,  -,  -,N/A%,30.11 in,  -,South,10.4 mph,16.1 mph,N/A,	 ,Unknown
1498953360,7/1/2017 5:56 PM,  -,  -,N/A%,30.12 in,  -,SE,9.2 mph,  -,N/A,	 ,Unknown
1498956960,7/1/2017 6:56 PM,  -,  -,N/A%,30.14 in,  -,SE,5.8 mph,  -,N/A,	 ,Unknown
1498958940,7/1/2017 7:29 PM,  -,  -,N/A%,30.11 in,  -,SE,12.7 mph,  -,N/A,Thunderstorm,Thunderstorm
1498959840,7/1/2017 7:44 PM,  -,  -,N/A%,30.11 in,  -,ESE,12.7 mph,  -,N/A,	 ,Unknown
1498960560,7/1/2017 7:56 PM,  -,  -,N/A%,30.13 in,  -,East,8.1 mph,  -,N/A,	 ,Unknown
1498960980,7/1/2017 8:03 PM,  -,  -,N/A%,30.13 in,  -,ESE,9.2 mph,  -,N/A,Thunderstorm,Thunderstorm
1498964160,7/1/2017 8:56 PM,  -,  -,N/A%,30.17 in,  -,South,10.4 mph,  -,0.00 in,Rain,"	,"
1498966380,7/1/2017 9:33 PM,  -,  -,N/A%,30.17 in,  -,SE,15.0 mph,23.0 mph,0.00 in,	 ,Unknown
1498967760,7/1/2017 9:56 PM,  -,  -,N/A%,30.17 in,  -,SSE,11.5 mph,21.9 mph,0.00 in,	 ,Unknown
1498971360,7/1/2017 10:56 PM,  -,  -,N/A%,30.17 in,  -,SSE,6.9 mph,  -,N/A,	 ,Unknown
1498974960,7/1/2017 11:56 PM,  -,  -,N/A%,30.18 in,  -,North,5.8 mph,  -,N/A,	 ,Unknown
1498805760,6/30/2017 12:56 AM,1.0 °F,1.0 °F,100%,30.19 in,  -,ENE,10.4 mph,  -,N/A,	 ,Unknown
1498809360,6/30/2017 1:56 AM,  -,  -,N/A%,30.20 in,  -,ENE,10.4 mph,  -,N/A,	 ,Unknown
1498812960,6/30/2017 2:56 AM,  -,  -,N/A%,30.19 in,  -,NE,10.4 mph,  -,N/A,	 ,Unknown
1498816560,6/30/2017 3:56 AM,  -,  -,N/A%,30.20 in,  -,North,13.8 mph,  -,N/A,	 ,Unknown
1498820160,6/30/2017 4:56 AM,  -,  -,N/A%,30.20 in,  -,NNE,8.1 mph,  -,N/A,	 ,Unknown
1498823760,6/30/2017 5:56 AM,  -,  -,N/A%,30.22 in,  -,Calm,Calm,  -,N/A,	 ,Unknown
1498827360,6/30/2017 6:56 AM,  -,  -,N/A%,30.24 in,  -,ENE,8.1 mph,  -,N/A,	 ,Unknown
1498830960,6/30/2017 7:56 AM,  -,  -,N/A%,30.28 in,  -,East,8.1 mph,  -,N/A,	 ,Unknown
1498834560,6/30/2017 8:56 AM,  -,  -,N/A%,30.30 in,  -,Variable,5.8 mph,  -,N/A,	 ,Unknown
1498838160,6/30/2017 9:56 AM,  -,  -,N/A%,30.30 in,  -,South,4.6 mph,  -,N/A,	 ,Unknown
