Timestamp,WU Local time,Temp,Dew Point,Humidity,Pressure,Visibility,Wind Direction,Wind Speed,Gust Speed,Precipitation,Events,Conditions
1498913220,7/1/2017 5:47 AM,75.2 °F,30.2 °F,19%,29.79 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1498916820,7/1/2017 6:47 AM,80.6 °F,32.0 °F,17%,29.81 in,10.0 mi,North,46.0 mph,  -,N/A,	 ,Clear
1498917780,7/1/2017 7:03 AM,80.6 °F,35.6 °F,20%,29.82 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Clear
1498920420,7/1/2017 7:47 AM,86.0 °F,33.8 °F,15%,29.84 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1498924020,7/1/2017 8:47 AM,91.4 °F,33.8 °F,13%,29.84 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1498927620,7/1/2017 9:47 AM,95.0 °F,32.0 °F,11%,29.84 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Clear
1498931220,7/1/2017 10:47 AM,98.6 °F,32.0 °F,10%,29.83 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Clear
1498934820,7/1/2017 11:47 AM,102.2 °F,32.0 °F,9%,29.82 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Clear
1498938420,7/1/2017 12:47 PM,105.8 °F,26.6 °F,6%,29.80 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Clear
1498942020,7/1/2017 1:47 PM,105.8 °F,23.0 °F,5%,29.79 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Clear
1498945620,7/1/2017 2:47 PM,107.6 °F,21.2 °F,5%,29.77 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Clear
1498949220,7/1/2017 3:47 PM,109.4 °F,12.2 °F,4%,29.75 in,10.0 mi,SW,16.1 mph,  -,N/A,	 ,Clear
1498952820,7/1/2017 4:47 PM,109.4 °F,10.4 °F,4%,29.73 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Clear
1498956420,7/1/2017 5:47 PM,109.4 °F,23.0 °F,5%,29.73 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Clear
1498960020,7/1/2017 6:47 PM,107.6 °F,17.6 °F,4%,29.74 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Clear
1498963620,7/1/2017 7:47 PM,104.0 °F,17.6 °F,5%,29.76 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Clear
1498967220,7/1/2017 8:47 PM,98.6 °F,17.6 °F,5%,29.79 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Clear
1498826820,6/30/2017 5:47 AM,77.0 °F,33.8 °F,21%,29.84 in,10.0 mi,ENE,6.9 mph,  -,N/A,	 ,Clear
1498830420,6/30/2017 6:47 AM,80.6 °F,39.2 °F,23%,29.86 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1498834020,6/30/2017 7:47 AM,86.0 °F,33.8 °F,15%,29.87 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1498837620,6/30/2017 8:47 AM,89.6 °F,30.2 °F,12%,29.87 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Clear
1498841220,6/30/2017 9:47 AM,93.2 °F,30.2 °F,11%,29.86 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1498844820,6/30/2017 10:47 AM,95.0 °F,24.8 °F,8%,29.85 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Clear
1498848420,6/30/2017 11:47 AM,100.4 °F,19.4 °F,5%,29.83 in,10.0 mi,SSE,9.2 mph,  -,N/A,	 ,Clear
1498852020,6/30/2017 12:47 PM,102.2 °F,19.4 °F,5%,29.81 in,10.0 mi,SSW,12.7 mph,  -,N/A,	 ,Clear
1498855620,6/30/2017 1:47 PM,102.2 °F,17.6 °F,5%,29.78 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Clear
1498859220,6/30/2017 2:47 PM,105.8 °F,17.6 °F,4%,29.76 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Clear
1498862820,6/30/2017 3:47 PM,104.0 °F,17.6 °F,5%,29.74 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Clear
1498866420,6/30/2017 4:47 PM,105.8 °F,19.4 °F,5%,29.72 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Clear
1498870020,6/30/2017 5:47 PM,104.0 °F,15.8 °F,4%,29.71 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1498873620,6/30/2017 6:47 PM,104.0 °F,14.0 °F,4%,29.71 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Clear
1498877220,6/30/2017 7:47 PM,100.4 °F,17.6 °F,5%,29.71 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Clear
1498740420,6/29/2017 5:47 AM,77.0 °F,48.2 °F,36%,29.82 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Clear
1498744020,6/29/2017 6:47 AM,82.4 °F,50.0 °F,32%,29.85 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Clear
1498747620,6/29/2017 7:47 AM,86.0 °F,55.4 °F,35%,29.86 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Clear
1498751220,6/29/2017 8:47 AM,89.6 °F,50.0 °F,26%,29.87 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Clear
1498754820,6/29/2017 9:47 AM,93.2 °F,44.6 °F,19%,29.86 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Clear
1498758420,6/29/2017 10:47 AM,96.8 °F,39.2 °F,14%,29.86 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Clear
1498762020,6/29/2017 11:47 AM,98.6 °F,37.4 °F,12%,29.85 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Clear
1498765620,6/29/2017 12:47 PM,100.4 °F,39.2 °F,12%,29.83 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Clear
1498769220,6/29/2017 1:47 PM,104.0 °F,35.6 °F,9%,29.81 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Clear
1498772820,6/29/2017 2:47 PM,104.0 °F,35.6 °F,9%,29.78 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Clear
1498776420,6/29/2017 3:47 PM,105.8 °F,37.4 °F,10%,29.75 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Clear
1498780020,6/29/2017 4:47 PM,105.8 °F,37.4 °F,10%,29.73 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Clear
1498783620,6/29/2017 5:47 PM,105.8 °F,35.6 °F,9%,29.72 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498787220,6/29/2017 6:47 PM,104.0 °F,33.8 °F,9%,29.73 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Clear
1498790820,6/29/2017 7:47 PM,102.2 °F,33.8 °F,9%,29.73 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Clear
1498795200,6/29/2017 9:00 PM,100.4 °F,33.8 °F,10%,29.74 in,10.0 mi,WNW,4.6 mph,  -,N/A,	 ,Clear
1498654020,6/28/2017 5:47 AM,80.6 °F,41.0 °F,24%,29.80 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Clear
1498657620,6/28/2017 6:47 AM,84.2 °F,46.4 °F,27%,29.82 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Clear
1498661220,6/28/2017 7:47 AM,87.8 °F,48.2 °F,25%,29.84 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Clear
1498664820,6/28/2017 8:47 AM,93.2 °F,53.6 °F,26%,29.83 in,10.0 mi,SSW,11.5 mph,  -,N/A,	 ,Clear
1498668420,6/28/2017 9:47 AM,95.0 °F,51.8 °F,23%,29.84 in,10.0 mi,SSW,10.4 mph,  -,N/A,	 ,Clear
1498672020,6/28/2017 10:47 AM,96.8 °F,53.6 °F,23%,29.83 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Clear
1498675620,6/28/2017 11:47 AM,98.6 °F,51.8 °F,21%,29.82 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Clear
1498679220,6/28/2017 12:47 PM,102.2 °F,42.8 °F,13%,29.80 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498682820,6/28/2017 1:47 PM,102.2 °F,41.0 °F,12%,29.77 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
