Timestamp,WU Local time,Temp,Dew Point,Humidity,Pressure,Visibility,Wind Direction,Wind Speed,Gust Speed,Precipitation,Events,Conditions
1498916820,7/1/2017 6:47 AM,55.4 °F,53.6 °F,94%,29.95 in,10.0 mi,SE,9.2 mph,  -,N/A,	 ,Scattered Clouds
1498920420,7/1/2017 7:47 AM,59.0 °F,53.6 °F,82%,29.95 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Scattered Clouds
1498924020,7/1/2017 8:47 AM,60.8 °F,53.6 °F,77%,29.95 in,10.0 mi,NNE,6.9 mph,  -,N/A,	 ,Scattered Clouds
1498927620,7/1/2017 9:47 AM,62.6 °F,55.4 °F,77%,29.93 in,10.0 mi,NNE,6.9 mph,  -,N/A,	 ,Scattered Clouds
1498934820,7/1/2017 11:47 AM,68.0 °F,57.2 °F,68%,29.92 in,10.0 mi,NNE,11.5 mph,  -,N/A,	 ,Partly Cloudy
1498938420,7/1/2017 12:47 PM,69.8 °F,55.4 °F,60%,29.91 in,10.0 mi,North,13.8 mph,  -,N/A,	 ,Partly Cloudy
1498942020,7/1/2017 1:47 PM,69.8 °F,57.2 °F,64%,29.90 in,10.0 mi,North,16.1 mph,  -,N/A,	 ,Partly Cloudy
1498945620,7/1/2017 2:47 PM,71.6 °F,57.2 °F,60%,29.88 in,10.0 mi,North,17.3 mph,  -,N/A,	 ,Partly Cloudy
1498949220,7/1/2017 3:47 PM,71.6 °F,57.2 °F,60%,29.86 in,10.0 mi,NNW,17.3 mph,  -,N/A,	 ,Partly Cloudy
1498952820,7/1/2017 4:47 PM,73.4 °F,57.2 °F,57%,29.85 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Clear
1498956420,7/1/2017 5:47 PM,71.6 °F,57.2 °F,60%,29.84 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Clear
1498960020,7/1/2017 6:47 PM,68.0 °F,55.4 °F,64%,29.84 in,10.0 mi,NNW,15.0 mph,  -,N/A,	 ,Clear
1498963620,7/1/2017 7:47 PM,64.4 °F,55.4 °F,73%,29.85 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Clear
1498967220,7/1/2017 8:47 PM,60.8 °F,57.2 °F,88%,29.86 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Clear
1498844820,6/30/2017 10:47 AM,64.4 °F,55.4 °F,73%,30.00 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Scattered Clouds
1498852020,6/30/2017 12:47 PM,68.0 °F,59.0 °F,73%,29.99 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Partly Cloudy
1498855620,6/30/2017 1:47 PM,68.0 °F,59.0 °F,73%,29.97 in,10.0 mi,North,17.3 mph,  -,N/A,	 ,Partly Cloudy
1498859220,6/30/2017 2:47 PM,71.6 °F,60.8 °F,69%,29.96 in,10.0 mi,NNW,17.3 mph,  -,N/A,	 ,Partly Cloudy
1498862820,6/30/2017 3:47 PM,73.4 °F,57.2 °F,57%,29.95 in,10.0 mi,NW,20.7 mph,  -,N/A,	 ,Partly Cloudy
1498866420,6/30/2017 4:47 PM,71.6 °F,57.2 °F,60%,29.93 in,10.0 mi,NW,17.3 mph,  -,N/A,	 ,Partly Cloudy
1498870020,6/30/2017 5:47 PM,71.6 °F,55.4 °F,57%,29.92 in,10.0 mi,NW,18.4 mph,  -,N/A,	 ,Partly Cloudy
1498877220,6/30/2017 7:47 PM,68.0 °F,51.8 °F,56%,29.93 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Partly Cloudy
1498880820,6/30/2017 8:47 PM,60.8 °F,51.8 °F,72%,29.93 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Partly Cloudy
1498744020,6/29/2017 6:47 AM,59.0 °F,55.4 °F,88%,29.96 in,7.0 mi,SE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
1498747620,6/29/2017 7:47 AM,  -,  -,N/A%,29.98 in,7.0 mi,WNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
1498751220,6/29/2017 8:47 AM,62.6 °F,55.4 °F,77%,30.00 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Mostly Cloudy
1498754820,6/29/2017 9:47 AM,64.4 °F,57.2 °F,77%,30.00 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Partly Cloudy
1498762020,6/29/2017 11:47 AM,66.2 °F,59.0 °F,78%,30.00 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Partly Cloudy
1498769220,6/29/2017 1:47 PM,69.8 °F,59.0 °F,68%,29.99 in,10.0 mi,NNW,17.3 mph,  -,N/A,	 ,Clear
1498772820,6/29/2017 2:47 PM,69.8 °F,60.8 °F,73%,29.97 in,10.0 mi,NNW,19.6 mph,  -,N/A,	 ,Clear
1498780020,6/29/2017 4:47 PM,69.8 °F,60.8 °F,73%,29.97 in,10.0 mi,NNW,17.3 mph,  -,N/A,	 ,Clear
1498783620,6/29/2017 5:47 PM,68.0 °F,59.0 °F,73%,29.96 in,10.0 mi,NNW,17.3 mph,  -,N/A,	 ,Clear
1498787220,6/29/2017 6:47 PM,66.2 °F,59.0 °F,78%,29.97 in,10.0 mi,NNW,17.3 mph,  -,N/A,	 ,Clear
1498790820,6/29/2017 7:47 PM,  -,  -,N/A%,29.97 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Partly Cloudy
1498794420,6/29/2017 8:47 PM,60.8 °F,55.4 °F,82%,29.98 in,10.0 mi,NW,17.3 mph,  -,N/A,	 ,Scattered Clouds
1498657620,6/28/2017 6:47 AM,57.2 °F,53.6 °F,88%,29.94 in,7.0 mi,WSW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
1498661400,6/28/2017 7:50 AM,60.8 °F,53.6 °F,77%,29.95 in,8.0 mi,West,4.6 mph,  -,N/A,	 ,Unknown
1498664820,6/28/2017 8:47 AM,62.6 °F,55.4 °F,77%,29.96 in,8.0 mi,NE,5.8 mph,  -,N/A,	 ,Scattered Clouds
1498672020,6/28/2017 10:47 AM,68.0 °F,59.0 °F,73%,29.95 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Partly Cloudy
1498675620,6/28/2017 11:47 AM,68.0 °F,59.0 °F,73%,29.95 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Partly Cloudy
1498679220,6/28/2017 12:47 PM,68.0 °F,59.0 °F,73%,29.96 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Partly Cloudy
1498682820,6/28/2017 1:47 PM,68.0 °F,60.8 °F,78%,29.95 in,10.0 mi,North,19.6 mph,  -,N/A,	 ,Partly Cloudy
1498686420,6/28/2017 2:47 PM,69.8 °F,60.8 °F,73%,29.93 in,10.0 mi,NNW,19.6 mph,  -,N/A,	 ,Clear
1498690020,6/28/2017 3:47 PM,69.8 °F,60.8 °F,73%,29.92 in,10.0 mi,NNW,19.6 mph,  -,N/A,	 ,Clear
1498693620,6/28/2017 4:47 PM,68.0 °F,59.0 °F,73%,29.91 in,10.0 mi,NNW,19.6 mph,  -,N/A,	 ,Clear
1498697220,6/28/2017 5:47 PM,68.0 °F,60.8 °F,78%,29.90 in,10.0 mi,North,17.3 mph,  -,N/A,	 ,Clear
1498700820,6/28/2017 6:47 PM,66.2 °F,59.0 °F,78%,29.91 in,10.0 mi,NNW,19.6 mph,  -,N/A,	 ,Clear
1498704420,6/28/2017 7:47 PM,64.4 °F,59.0 °F,83%,29.92 in,10.0 mi,North,16.1 mph,  -,N/A,	 ,Clear
1498708020,6/28/2017 8:47 PM,62.6 °F,57.2 °F,82%,29.92 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Clear
1498571220,6/27/2017 6:47 AM,60.8 °F,57.2 °F,88%,29.98 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Overcast
1498574820,6/27/2017 7:47 AM,60.8 °F,55.4 °F,82%,29.99 in,10.0 mi,WNW,10.4 mph,  -,N/A,	 ,Overcast
1498578420,6/27/2017 8:47 AM,62.6 °F,57.2 °F,82%,30.00 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Overcast
1498582020,6/27/2017 9:47 AM,66.2 °F,59.0 °F,78%,29.99 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Scattered Clouds
1498589220,6/27/2017 11:47 AM,69.8 °F,60.8 °F,73%,29.98 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Scattered Clouds
1498596420,6/27/2017 1:47 PM,71.6 °F,60.8 °F,69%,29.97 in,10.0 mi,NNW,20.7 mph,  -,N/A,	 ,Partly Cloudy
1498600020,6/27/2017 2:47 PM,69.8 °F,60.8 °F,73%,29.96 in,10.0 mi,NNW,21.9 mph,  -,N/A,	 ,Partly Cloudy
1498603620,6/27/2017 3:47 PM,69.8 °F,60.8 °F,73%,29.95 in,10.0 mi,NNW,17.3 mph,  -,N/A,	 ,Partly Cloudy
1498610820,6/27/2017 5:47 PM,69.8 °F,60.8 °F,73%,29.93 in,10.0 mi,NNW,17.3 mph,  -,N/A,	 ,Partly Cloudy
1498618020,6/27/2017 7:47 PM,62.6 °F,57.2 °F,82%,29.93 in,10.0 mi,NW,15.0 mph,  -,N/A,	 ,Partly Cloudy
1498621620,6/27/2017 8:47 PM,59.0 °F,55.4 °F,88%,29.94 in,10.0 mi,NW,15.0 mph,  -,N/A,	 ,Partly Cloudy
1498488420,6/26/2017 7:47 AM,64.4 °F,55.4 °F,73%,30.04 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
1498492020,6/26/2017 8:47 AM,66.2 °F,57.2 °F,73%,30.04 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Mostly Cloudy
1498496040,6/26/2017 9:54 AM,68.0 °F,59.0 °F,73%,30.04 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
1498498020,6/26/2017 10:27 AM,69.8 °F,59.0 °F,68%,30.04 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Scattered Clouds
1498502820,6/26/2017 11:47 AM,71.6 °F,60.8 °F,69%,30.04 in,10.0 mi,NNW,16.1 mph,  -,N/A,	 ,Partly Cloudy
1498517220,6/26/2017 3:47 PM,75.2 °F,60.8 °F,61%,30.01 in,10.0 mi,NNW,20.7 mph,  -,N/A,	 ,Clear
1498528020,6/26/2017 6:47 PM,69.8 °F,59.0 °F,68%,29.97 in,10.0 mi,NNW,23.0 mph,  -,N/A,	 ,Clear
1498531800,6/26/2017 7:50 PM,69.8 °F,59.0 °F,68%,29.98 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Clear
1498535220,6/26/2017 8:47 PM,64.4 °F,57.2 °F,77%,29.99 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Clear
1498398420,6/25/2017 6:47 AM,60.8 °F,57.2 °F,88%,29.98 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
1498402020,6/25/2017 7:47 AM,60.8 °F,57.2 °F,88%,29.99 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
1498405620,6/25/2017 8:47 AM,62.6 °F,57.2 °F,82%,30.00 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Overcast
1498423620,6/25/2017 1:47 PM,68.0 °F,60.8 °F,78%,30.01 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Partly Cloudy
1498427220,6/25/2017 2:47 PM,68.0 °F,59.0 °F,73%,30.00 in,10.0 mi,NNW,17.3 mph,  -,N/A,	 ,Partly Cloudy
1498430820,6/25/2017 3:47 PM,69.8 °F,60.8 °F,73%,29.99 in,10.0 mi,NNW,18.4 mph,  -,N/A,	 ,Clear
1498434420,6/25/2017 4:47 PM,69.8 °F,60.8 °F,73%,29.97 in,10.0 mi,NNW,19.6 mph,  -,N/A,	 ,Clear
1498438020,6/25/2017 5:47 PM,71.6 °F,60.8 °F,69%,29.96 in,10.0 mi,NNW,17.3 mph,  -,N/A,	 ,Clear
1498441800,6/25/2017 6:50 PM,69.8 °F,59.0 °F,68%,29.97 in,10.0 mi,NW,16.1 mph,  -,N/A,	 ,Partly Cloudy
1498445220,6/25/2017 7:47 PM,66.2 °F,57.2 °F,73%,29.97 in,10.0 mi,NW,17.3 mph,  -,N/A,	 ,Partly Cloudy
1498448820,6/25/2017 8:47 PM,60.8 °F,55.4 °F,82%,29.99 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Partly Cloudy
1498312020,6/24/2017 6:47 AM,62.6 °F,60.8 °F,94%,29.96 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Overcast
