Timestamp,WU Local time,Temp,Dew Point,Humidity,Pressure,Visibility,Wind Direction,Wind Speed,Gust Speed,Precipitation,Events,Conditions
1498917360,7/1/2017 6:56 AM,55.4 °F,50.0 °F,82%,29.97 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Scattered Clouds
1498920480,7/1/2017 7:48 AM,59.0 °F,51.8 °F,77%,29.97 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Scattered Clouds
1498924620,7/1/2017 8:57 AM,64.4 °F,51.8 °F,64%,29.96 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Scattered Clouds
1498927620,7/1/2017 9:47 AM,66.2 °F,51.8 °F,60%,29.95 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Partly Cloudy
1498931220,7/1/2017 10:47 AM,69.8 °F,50.0 °F,49%,29.95 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498934820,7/1/2017 11:47 AM,71.6 °F,50.0 °F,46%,29.92 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Clear
1498938420,7/1/2017 12:47 PM,75.2 °F,50.0 °F,41%,29.91 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Clear
1498942500,7/1/2017 1:55 PM,77.0 °F,51.8 °F,41%,29.89 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
1498945680,7/1/2017 2:48 PM,77.0 °F,51.8 °F,41%,29.88 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Clear
1498949940,7/1/2017 3:59 PM,77.0 °F,53.6 °F,44%,29.86 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Clear
1498953360,7/1/2017 4:56 PM,77.0 °F,53.6 °F,44%,29.86 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Clear
1498957140,7/1/2017 5:59 PM,75.2 °F,53.6 °F,47%,29.86 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Clear
1498960320,7/1/2017 6:52 PM,73.4 °F,53.6 °F,50%,29.86 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498963620,7/1/2017 7:47 PM,68.0 °F,53.6 °F,60%,29.87 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Clear
1498967220,7/1/2017 8:47 PM,64.4 °F,53.6 °F,68%,29.89 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Clear
1498970820,7/1/2017 9:47 PM,60.8 °F,51.8 °F,72%,29.90 in,8.0 mi,NW,5.8 mph,  -,N/A,	 ,Clear
1498834020,6/30/2017 7:47 AM,57.2 °F,51.8 °F,82%,30.01 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1498837620,6/30/2017 8:47 AM,60.8 °F,51.8 °F,72%,30.02 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
1498839480,6/30/2017 9:18 AM,62.6 °F,51.8 °F,68%,30.02 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
1498841220,6/30/2017 9:47 AM,66.2 °F,51.8 °F,60%,30.01 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1498844820,6/30/2017 10:47 AM,69.8 °F,51.8 °F,53%,30.01 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498848900,6/30/2017 11:55 AM,71.6 °F,51.8 °F,50%,30.00 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Clear
1498852020,6/30/2017 12:47 PM,75.2 °F,53.6 °F,47%,29.99 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Clear
1498855620,6/30/2017 1:47 PM,77.0 °F,53.6 °F,44%,29.97 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Clear
1498859220,6/30/2017 2:47 PM,77.0 °F,55.4 °F,47%,29.97 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Clear
1498862820,6/30/2017 3:47 PM,75.2 °F,55.4 °F,50%,29.96 in,10.0 mi,NNW,15.0 mph,  -,N/A,	 ,Clear
1498866660,6/30/2017 4:51 PM,75.2 °F,53.6 °F,47%,29.95 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Clear
1498877460,6/30/2017 7:51 PM,66.2 °F,53.6 °F,64%,29.95 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Clear
1498880820,6/30/2017 8:47 PM,64.4 °F,53.6 °F,68%,29.96 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1498884420,6/30/2017 9:47 PM,62.6 °F,51.8 °F,68%,29.96 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1498744200,6/29/2017 6:50 AM,57.2 °F,51.8 °F,82%,29.98 in,6.0 mi,SSW,8.1 mph,  -,N/A,	 ,Clear
1498747800,6/29/2017 7:50 AM,57.2 °F,51.8 °F,82%,30.00 in,4.0 mi,SSW,5.8 mph,  -,N/A,	 ,Overcast
1498751220,6/29/2017 8:47 AM,59.0 °F,53.6 °F,82%,30.02 in,4.0 mi,West,9.2 mph,  -,N/A,	 ,Overcast
1498758420,6/29/2017 10:47 AM,66.2 °F,53.6 °F,64%,30.02 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Clear
1498762020,6/29/2017 11:47 AM,73.4 °F,51.8 °F,47%,30.01 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498765620,6/29/2017 12:47 PM,77.0 °F,51.8 °F,41%,30.00 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Clear
1498769580,6/29/2017 1:53 PM,78.8 °F,51.8 °F,39%,29.99 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Clear
1498772820,6/29/2017 2:47 PM,78.8 °F,53.6 °F,42%,29.98 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Clear
1498776420,6/29/2017 3:47 PM,78.8 °F,53.6 °F,42%,29.97 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Clear
1498780020,6/29/2017 4:47 PM,77.0 °F,53.6 °F,44%,29.97 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Clear
1498783620,6/29/2017 5:47 PM,75.2 °F,53.6 °F,47%,29.98 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Clear
1498790820,6/29/2017 7:47 PM,66.2 °F,53.6 °F,64%,30.00 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Clear
1498794420,6/29/2017 8:47 PM,60.8 °F,51.8 °F,72%,30.02 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Clear
1498798020,6/29/2017 9:47 PM,59.0 °F,51.8 °F,77%,30.03 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Clear
1498657620,6/28/2017 6:47 AM,59.0 °F,51.8 °F,77%,29.96 in,8.0 mi,Variable,4.6 mph,  -,N/A,	 ,Overcast
1498661220,6/28/2017 7:47 AM,60.8 °F,51.8 °F,72%,29.97 in,8.0 mi,Variable,4.6 mph,  -,N/A,	 ,Overcast
1498665000,6/28/2017 8:50 AM,62.6 °F,51.8 °F,68%,29.98 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Partly Cloudy
1498668600,6/28/2017 9:50 AM,68.0 °F,51.8 °F,56%,29.97 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498672080,6/28/2017 10:48 AM,71.6 °F,51.8 °F,50%,29.97 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Clear
1498675620,6/28/2017 11:47 AM,75.2 °F,51.8 °F,44%,29.96 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Clear
