	UTC	Local Time	Temp	Dew Point	Humidity	Pressure	Visibility	Wind Direction	Wind Speed	Gust Speed	Precipitation	Events	Conditions
0	2017-03-01 08:52:00+00:00	3/1/2017 12:52 AM	52.0 °F	46.0 °F	80%	29.93 in	10.0 mi	ESE	5.8 mph	  -	N/A	"	 "	Overcast
1	2017-03-01 09:52:00+00:00	3/1/2017 1:52 AM	52.0 °F	46.0 °F	80%	29.89 in	10.0 mi	ESE	11.5 mph	18.4 mph	N/A	"	 "	Overcast
2	2017-03-01 10:38:00+00:00	3/1/2017 2:38 AM	53.1 °F	46.0 °F	77%	29.84 in	10.0 mi	Variable	6.9 mph	  -	0.00 in	"	 "	Overcast
3	2017-03-01 10:52:00+00:00	3/1/2017 2:52 AM	52.0 °F	46.0 °F	80%	29.83 in	10.0 mi	ESE	4.6 mph	  -	0.00 in	"	 "	Overcast
4	2017-03-01 11:52:00+00:00	3/1/2017 3:52 AM	53.1 °F	46.9 °F	80%	29.81 in	10.0 mi	Variable	4.6 mph	  -	N/A	"	 "	Overcast
5	2017-03-01 12:52:00+00:00	3/1/2017 4:52 AM	55.0 °F	48.0 °F	77%	29.78 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Overcast
6	2017-03-01 13:52:00+00:00	3/1/2017 5:52 AM	53.1 °F	48.0 °F	83%	29.76 in	10.0 mi	Variable	5.8 mph	  -	N/A	"	 "	Overcast
7	2017-03-01 14:52:00+00:00	3/1/2017 6:52 AM	55.9 °F	48.0 °F	75%	29.71 in	10.0 mi	Variable	6.9 mph	24.2 mph	N/A	"	 "	Mostly Cloudy
8	2017-03-01 15:07:00+00:00	3/1/2017 7:07 AM	55.0 °F	48.0 °F	77%	29.69 in	10.0 mi	NE	5.8 mph	  -	N/A	"	 "	Mostly Cloudy
9	2017-03-01 15:18:00+00:00	3/1/2017 7:18 AM	55.0 °F	48.0 °F	77%	29.69 in	10.0 mi	Variable	3.5 mph	  -	N/A	"	 "	Mostly Cloudy
10	2017-03-01 15:39:00+00:00	3/1/2017 7:39 AM	57.0 °F	48.9 °F	74%	29.68 in	10.0 mi	SW	11.5 mph	24.2 mph	N/A	"	 "	Scattered Clouds
11	2017-03-01 15:52:00+00:00	3/1/2017 7:52 AM	57.0 °F	48.9 °F	74%	29.69 in	10.0 mi	SW	10.4 mph	  -	N/A	"	 "	Scattered Clouds
12	2017-03-01 16:10:00+00:00	3/1/2017 8:10 AM	57.0 °F	48.9 °F	74%	29.67 in	10.0 mi	West	13.8 mph	20.7 mph	N/A	"	 "	Mostly Cloudy
13	2017-03-01 16:52:00+00:00	3/1/2017 8:52 AM	57.0 °F	48.9 °F	74%	29.69 in	10.0 mi	Variable	6.9 mph	  -	N/A	"	 "	Overcast
