	Time Stamps	Temp	Dew Point	Humidity	Pressure	Visibility	Wind Direction	Wind Speed	Gust Speed	Precipitation	Events	Conditions
0	7/27/1996 -- 12:52 AM	62.1 °F	62.1 °F	100%	29.98 in	0.2 mi	Calm	Calm	  -	N/A	Fog	Fog
1	7/27/1996 -- 1:52 AM	61.0 °F	61.0 °F	100%	29.99 in	0.2 mi	Calm	Calm	  -	N/A	Fog	Fog
2	7/27/1996 -- 2:52 AM	60.1 °F	60.1 °F	100%	30.00 in	0.2 mi	Calm	Calm	  -	N/A	Fog	Fog
3	7/27/1996 -- 3:52 AM	59.0 °F	59.0 °F	100%	30.01 in	0.2 mi	Calm	Calm	  -	N/A	Fog	Fog
4	7/27/1996 -- 4:52 AM	59.0 °F	59.0 °F	100%	30.03 in	0.5 mi	Calm	Calm	  -	N/A	Fog	Fog
5	7/27/1996 -- 5:52 AM	59.0 °F	59.0 °F	100%	30.03 in	4.0 mi	Calm	Calm	  -	N/A	"	 "	Mostly Cloudy
6	7/27/1996 -- 6:52 AM	60.1 °F	60.1 °F	100%	30.04 in	8.0 mi	Calm	Calm	  -	N/A	"	 "	Overcast
7	7/27/1996 -- 7:52 AM	63.0 °F	62.1 °F	97%	30.04 in	9.0 mi	West	3.5 mph	  -	N/A	"	 "	Overcast
8	7/27/1996 -- 8:52 AM	66.0 °F	62.1 °F	87%	30.05 in	10.0 mi	West	8.1 mph	  -	N/A	"	 "	Overcast
9	7/27/1996 -- 9:52 AM	69.1 °F	61.0 °F	75%	30.06 in	10.0 mi	WSW	10.4 mph	  -	N/A	"	 "	Partly Cloudy
10	7/27/1996 -- 10:52 AM	70.0 °F	60.1 °F	71%	30.06 in	10.0 mi	Variable	6.9 mph	16.1 mph	N/A	"	 "	Scattered Clouds
11	7/27/1996 -- 11:52 AM	71.1 °F	61.0 °F	70%	30.06 in	10.0 mi	NNW	5.8 mph	  -	N/A	"	 "	Mostly Cloudy
12	7/27/1996 -- 12:52 PM	71.1 °F	61.0 °F	70%	30.08 in	10.0 mi	Variable	4.6 mph	  -	N/A	"	 "	Overcast
13	7/27/1996 -- 1:52 PM	73.0 °F	60.1 °F	64%	30.07 in	10.0 mi	Variable	6.9 mph	  -	N/A	"	 "	Overcast
