	UTC	Time Stamps	Temp	Dew Point	Humidity	Pressure	Visibility	Wind Direction	Wind Speed	Gust Speed	Precipitation	Events	Conditions
0	1997-07-27 05:16:00+00:00	7/27/1997 -- 12:16 AM	71.6 °F	71.6 °F	100%	29.89 in	7.0 mi	Calm	Calm	  -	0.01 in	Rain	Rain
1	1997-07-27 05:35:00+00:00	7/27/1997 -- 12:35 AM	71.6 °F	71.6 °F	100%	29.89 in	10.0 mi	Calm	Calm	  -	0.01 in	"	 "	Scattered Clouds
2	1997-07-27 05:58:00+00:00	7/27/1997 -- 12:58 AM	71.6 °F	71.6 °F	100%	29.88 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
3	1997-07-27 06:16:00+00:00	7/27/1997 -- 1:16 AM	71.6 °F	71.6 °F	100%	29.88 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
4	1997-07-27 06:35:00+00:00	7/27/1997 -- 1:35 AM	71.6 °F	71.6 °F	100%	29.88 in	7.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
5	1997-07-27 06:55:00+00:00	7/27/1997 -- 1:55 AM	71.6 °F	71.6 °F	100%	29.88 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
6	1997-07-27 07:15:00+00:00	7/27/1997 -- 2:15 AM	69.8 °F	69.8 °F	100%	29.88 in	5.0 mi	Calm	Calm	  -	N/A	Fog	Fog
7	1997-07-27 07:36:00+00:00	7/27/1997 -- 2:36 AM	71.6 °F	71.6 °F	100%	29.88 in	7.0 mi	Calm	Calm	  -	N/A	"	 "	Scattered Clouds
8	1997-07-27 07:56:00+00:00	7/27/1997 -- 2:56 AM	71.6 °F	71.6 °F	100%	29.89 in	7.0 mi	Calm	Calm	  -	N/A	"	 "	Mostly Cloudy
9	1997-07-27 08:14:00+00:00	7/27/1997 -- 3:14 AM	71.6 °F	71.6 °F	100%	29.89 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Mostly Cloudy
10	1997-07-27 08:35:00+00:00	7/27/1997 -- 3:35 AM	71.6 °F	71.6 °F	100%	29.89 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Mostly Cloudy
11	1997-07-27 08:55:00+00:00	7/27/1997 -- 3:55 AM	71.6 °F	71.6 °F	100%	29.89 in	7.0 mi	Calm	Calm	  -	N/A	"	 "	Overcast
12	1997-07-27 09:14:00+00:00	7/27/1997 -- 4:14 AM	71.6 °F	  -	N/A%	29.90 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Overcast
13	1997-07-27 09:34:00+00:00	7/27/1997 -- 4:34 AM	73.4 °F	73.4 °F	100%	29.89 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Overcast
14	1997-07-27 09:55:00+00:00	7/27/1997 -- 4:55 AM	71.6 °F	71.6 °F	100%	29.89 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Scattered Clouds
15	1997-07-27 10:15:00+00:00	7/27/1997 -- 5:15 AM	71.6 °F	71.6 °F	100%	29.89 in	7.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
16	1997-07-27 10:36:00+00:00	7/27/1997 -- 5:36 AM	71.6 °F	71.6 °F	100%	29.90 in	7.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
17	1997-07-27 10:54:00+00:00	7/27/1997 -- 5:54 AM	71.6 °F	71.6 °F	100%	29.90 in	7.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
18	1997-07-27 11:14:00+00:00	7/27/1997 -- 6:14 AM	71.6 °F	71.6 °F	100%	29.90 in	7.0 mi	Calm	Calm	  -	N/A	"	 "	Scattered Clouds
19	1997-07-27 11:34:00+00:00	7/27/1997 -- 6:34 AM	71.6 °F	71.6 °F	100%	29.90 in	7.0 mi	Calm	Calm	  -	N/A	"	 "	Mostly Cloudy
20	1997-07-27 11:55:00+00:00	7/27/1997 -- 6:55 AM	71.6 °F	71.6 °F	100%	29.90 in	7.0 mi	Calm	Calm	  -	N/A	"	 "	Mostly Cloudy
21	1997-07-27 12:14:00+00:00	7/27/1997 -- 7:14 AM	71.6 °F	71.6 °F	100%	29.89 in	7.0 mi	Calm	Calm	  -	N/A	"	 "	Scattered Clouds
22	1997-07-27 12:38:00+00:00	7/27/1997 -- 7:38 AM	71.6 °F	71.6 °F	100%	29.90 in	7.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
23	1997-07-27 12:54:00+00:00	7/27/1997 -- 7:54 AM	71.6 °F	71.6 °F	100%	29.92 in	7.0 mi	SSW	4.6 mph	  -	N/A	"	 "	Mostly Cloudy
24	1997-07-27 13:14:00+00:00	7/27/1997 -- 8:14 AM	71.6 °F	71.6 °F	100%	29.90 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Scattered Clouds
25	1997-07-27 13:35:00+00:00	7/27/1997 -- 8:35 AM	71.6 °F	71.6 °F	100%	29.89 in	10.0 mi	East	4.6 mph	  -	N/A	"	 "	Clear
26	1997-07-27 13:54:00+00:00	7/27/1997 -- 8:54 AM	71.6 °F	71.6 °F	100%	29.89 in	10.0 mi	NE	3.5 mph	  -	N/A	"	 "	Clear
27	1997-07-27 14:14:00+00:00	7/27/1997 -- 9:14 AM	71.6 °F	71.6 °F	100%	29.90 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
28	1997-07-27 14:36:00+00:00	7/27/1997 -- 9:36 AM	71.6 °F	71.6 °F	100%	29.92 in	7.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
29	1997-07-27 14:56:00+00:00	7/27/1997 -- 9:56 AM	73.4 °F	73.4 °F	100%	29.92 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
30	1997-07-27 15:16:00+00:00	7/27/1997 -- 10:16 AM	73.4 °F	73.4 °F	100%	29.91 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
31	1997-07-27 15:34:00+00:00	7/27/1997 -- 10:34 AM	73.4 °F	73.4 °F	100%	29.91 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Scattered Clouds
32	1997-07-27 15:55:00+00:00	7/27/1997 -- 10:55 AM	75.2 °F	75.2 °F	100%	29.91 in	10.0 mi	WSW	3.5 mph	  -	N/A	"	 "	Clear
33	1997-07-27 16:15:00+00:00	7/27/1997 -- 11:15 AM	75.2 °F	75.2 °F	100%	29.91 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
34	1997-07-27 16:34:00+00:00	7/27/1997 -- 11:34 AM	75.2 °F	75.2 °F	100%	29.91 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
35	1997-07-27 17:16:00+00:00	7/27/1997 -- 12:16 PM	78.8 °F	77.0 °F	94%	29.92 in	10.0 mi	West	6.9 mph	  -	N/A	"	 "	Clear
36	1997-07-27 17:34:00+00:00	7/27/1997 -- 12:34 PM	78.8 °F	77.0 °F	94%	29.92 in	10.0 mi	West	3.5 mph	  -	N/A	"	 "	Clear
37	1997-07-27 17:54:00+00:00	7/27/1997 -- 12:54 PM	78.8 °F	75.2 °F	89%	29.91 in	10.0 mi	WNW	3.5 mph	  -	N/A	"	 "	Clear
38	1997-07-27 18:17:00+00:00	7/27/1997 -- 1:17 PM	78.8 °F	77.0 °F	94%	29.90 in	10.0 mi	NW	4.6 mph	  -	N/A	"	 "	Clear
39	1997-07-27 18:34:00+00:00	7/27/1997 -- 1:34 PM	78.8 °F	77.0 °F	94%	29.92 in	10.0 mi	WSW	5.8 mph	  -	N/A	"	 "	Clear
40	1997-07-27 18:59:00+00:00	7/27/1997 -- 1:59 PM	78.8 °F	77.0 °F	94%	29.92 in	10.0 mi	WSW	4.6 mph	  -	N/A	"	 "	Clear
41	1997-07-27 19:17:00+00:00	7/27/1997 -- 2:17 PM	78.8 °F	77.0 °F	94%	29.91 in	10.0 mi	WSW	4.6 mph	  -	N/A	"	 "	Clear
42	1997-07-27 19:35:00+00:00	7/27/1997 -- 2:35 PM	78.8 °F	77.0 °F	94%	29.89 in	10.0 mi	WSW	3.5 mph	  -	N/A	"	 "	Clear
43	1997-07-27 19:54:00+00:00	7/27/1997 -- 2:54 PM	78.8 °F	77.0 °F	94%	29.87 in	10.0 mi	WSW	3.5 mph	  -	N/A	"	 "	Clear
