	Time Stamps	Temp	Dew Point	Humidity	Pressure	Visibility	Wind Direction	Wind Speed	Gust Speed	Precipitation	Events	Conditions
0	7/27/1997 -- 12:51 AM	79.0 °F	71.1 °F	77%	29.96 in	6.0 mi	SSW	6.9 mph	  -	N/A	"	 "	Haze
1	7/27/1997 -- 1:51 AM	77.0 °F	72.0 °F	84%	29.95 in	5.0 mi	SW	10.4 mph	  -	N/A	"	 "	Haze
2	7/27/1997 -- 2:51 AM	75.9 °F	73.0 °F	91%	29.94 in	4.0 mi	SW	8.1 mph	  -	N/A	"	 "	Clear
3	7/27/1997 -- 3:34 AM	75.2 °F	73.4 °F	94%	29.95 in	4.0 mi	WSW	8.1 mph	  -	N/A	"	 "	Partly Cloudy
4	7/27/1997 -- 3:51 AM	75.0 °F	73.9 °F	96%	29.93 in	5.0 mi	SW	9.2 mph	  -	N/A	"	 "	Mostly Cloudy
5	7/27/1997 -- 4:00 AM	75.2 °F	73.4 °F	94%	29.94 in	3.0 mi	WSW	6.9 mph	  -	N/A	"	 "	Mostly Cloudy
6	7/27/1997 -- 4:51 AM	75.0 °F	73.9 °F	96%	29.92 in	3.0 mi	SW	8.1 mph	  -	N/A	"	 "	Overcast
7	7/27/1997 -- 5:27 AM	73.4 °F	73.4 °F	100%	29.94 in	2.5 mi	WSW	4.6 mph	  -	N/A	"	 "	Mostly Cloudy
8	7/27/1997 -- 5:51 AM	75.0 °F	73.9 °F	96%	29.94 in	3.0 mi	WSW	6.9 mph	  -	N/A	"	 "	Overcast
9	7/27/1997 -- 6:00 AM	75.2 °F	73.4 °F	94%	29.95 in	2.5 mi	SW	6.9 mph	  -	N/A	"	 "	Overcast
10	7/27/1997 -- 6:18 AM	75.2 °F	73.4 °F	94%	29.95 in	1.5 mi	SW	8.1 mph	  -	N/A	"	 "	Mostly Cloudy
11	7/27/1997 -- 6:51 AM	75.0 °F	73.9 °F	96%	29.94 in	1.5 mi	SW	9.2 mph	  -	N/A	"	 "	Overcast
12	7/27/1997 -- 7:51 AM	77.0 °F	73.9 °F	90%	29.94 in	1.5 mi	SW	10.4 mph	  -	N/A	"	 "	Overcast
13	7/27/1997 -- 8:08 AM	77.0 °F	73.4 °F	89%	29.95 in	2.5 mi	WSW	9.2 mph	  -	N/A	"	 "	Overcast
14	7/27/1997 -- 8:43 AM	78.8 °F	73.4 °F	83%	29.95 in	2.5 mi	SW	12.7 mph	  -	N/A	"	 "	Overcast
15	7/27/1997 -- 8:51 AM	79.0 °F	73.9 °F	84%	29.94 in	2.5 mi	SW	11.5 mph	  -	N/A	"	 "	Haze
16	7/27/1997 -- 9:11 AM	78.8 °F	75.2 °F	89%	29.95 in	2.5 mi	SW	10.4 mph	  -	N/A	"	 "	Overcast
17	7/27/1997 -- 9:51 AM	81.0 °F	75.0 °F	82%	29.95 in	2.5 mi	SW	5.8 mph	  -	N/A	"	 "	Haze
18	7/27/1997 -- 10:30 AM	84.2 °F	75.2 °F	74%	29.95 in	4.0 mi	Variable	6.9 mph	  -	N/A	"	 "	Haze
19	7/27/1997 -- 10:51 AM	86.0 °F	75.0 °F	70%	29.94 in	5.0 mi	West	6.9 mph	  -	N/A	"	 "	Haze
20	7/27/1997 -- 11:51 AM	88.0 °F	75.0 °F	65%	29.93 in	5.0 mi	Variable	4.6 mph	  -	N/A	"	 "	Haze
21	7/27/1997 -- 12:51 PM	90.0 °F	75.0 °F	61%	29.91 in	6.0 mi	Variable	4.6 mph	  -	N/A	"	 "	Haze
22	7/27/1997 -- 1:51 PM	91.0 °F	73.0 °F	55%	29.90 in	7.0 mi	SW	4.6 mph	  -	N/A	"	 "	Mostly Cloudy
23	7/27/1997 -- 2:51 PM	93.0 °F	75.0 °F	56%	29.89 in	7.0 mi	SW	9.2 mph	  -	N/A	"	 "	Mostly Cloudy
24	7/27/1997 -- 3:51 PM	90.0 °F	75.0 °F	61%	29.88 in	6.0 mi	WSW	8.1 mph	  -	N/A	"	 "	Haze
25	7/27/1997 -- 4:51 PM	91.9 °F	73.9 °F	55%	29.86 in	7.0 mi	WSW	9.2 mph	  -	N/A	"	 "	Scattered Clouds
26	7/27/1997 -- 5:51 PM	91.9 °F	75.0 °F	58%	29.86 in	7.0 mi	WSW	8.1 mph	  -	N/A	"	 "	Mostly Cloudy
27	7/27/1997 -- 6:51 PM	90.0 °F	75.0 °F	61%	29.86 in	7.0 mi	WSW	8.1 mph	  -	N/A	"	 "	Mostly Cloudy
28	7/27/1997 -- 7:51 PM	86.0 °F	75.9 °F	72%	29.86 in	7.0 mi	WSW	4.6 mph	  -	N/A	"	 "	Scattered Clouds
29	7/27/1997 -- 8:51 PM	84.9 °F	75.9 °F	74%	29.87 in	7.0 mi	Calm	Calm	  -	N/A	"	 "	Scattered Clouds
30	7/27/1997 -- 9:51 PM	82.9 °F	75.9 °F	79%	29.89 in	7.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
31	7/27/1997 -- 10:51 PM	81.0 °F	75.9 °F	85%	29.89 in	6.0 mi	Calm	Calm	  -	N/A	"	 "	Haze
32	7/27/1997 -- 11:51 PM	80.1 °F	75.9 °F	87%	29.91 in	7.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
33	1/8/1997 -- 12:51 AM	34.0 °F	12.0 °F	40%	30.21 in	10.0 mi	Variable	3.5 mph	  -	N/A	"	 "	Scattered Clouds
34	1/8/1997 -- 1:51 AM	32.0 °F	12.9 °F	45%	30.22 in	10.0 mi	NNE	3.5 mph	  -	N/A	"	 "	Scattered Clouds
35	1/8/1997 -- 2:51 AM	30.0 °F	14.0 °F	51%	30.24 in	10.0 mi	NE	3.5 mph	  -	N/A	"	 "	Scattered Clouds
36	1/8/1997 -- 3:51 AM	28.9 °F	15.1 °F	56%	30.23 in	10.0 mi	NW	3.5 mph	  -	N/A	"	 "	Scattered Clouds
37	1/8/1997 -- 4:51 AM	30.0 °F	14.0 °F	51%	30.25 in	10.0 mi	North	4.6 mph	  -	N/A	"	 "	Scattered Clouds
38	1/8/1997 -- 5:51 AM	28.9 °F	14.0 °F	54%	30.26 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Scattered Clouds
39	1/8/1997 -- 6:51 AM	28.0 °F	14.0 °F	56%	30.28 in	10.0 mi	North	3.5 mph	  -	N/A	"	 "	Scattered Clouds
40	1/8/1997 -- 7:51 AM	28.0 °F	16.0 °F	61%	30.29 in	10.0 mi	NE	4.6 mph	  -	N/A	"	 "	Mostly Cloudy
41	1/8/1997 -- 8:51 AM	32.0 °F	15.1 °F	50%	30.30 in	10.0 mi	North	8.1 mph	  -	N/A	"	 "	Scattered Clouds
42	1/8/1997 -- 9:51 AM	35.1 °F	14.0 °F	42%	30.32 in	10.0 mi	Variable	3.5 mph	  -	N/A	"	 "	Scattered Clouds
43	1/8/1997 -- 10:51 AM	37.9 °F	14.0 °F	38%	30.31 in	10.0 mi	NNE	6.9 mph	  -	N/A	"	 "	Scattered Clouds
44	1/8/1997 -- 11:51 AM	42.1 °F	12.9 °F	31%	30.27 in	10.0 mi	North	6.9 mph	  -	N/A	"	 "	Partly Cloudy
45	1/8/1997 -- 12:51 PM	44.1 °F	12.9 °F	28%	30.24 in	10.0 mi	NE	8.1 mph	  -	N/A	"	 "	Scattered Clouds
46	1/8/1997 -- 1:51 PM	44.1 °F	10.9 °F	26%	30.22 in	10.0 mi	Variable	3.5 mph	  -	N/A	"	 "	Mostly Cloudy
47	1/8/1997 -- 2:51 PM	45.0 °F	10.9 °F	25%	30.22 in	10.0 mi	ENE	5.8 mph	  -	N/A	"	 "	Overcast
48	1/8/1997 -- 3:51 PM	45.0 °F	12.9 °F	27%	30.20 in	10.0 mi	NE	9.2 mph	  -	N/A	"	 "	Mostly Cloudy
49	1/8/1997 -- 4:51 PM	44.1 °F	15.1 °F	31%	30.22 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Overcast
50	1/8/1997 -- 5:51 PM	43.0 °F	18.0 °F	37%	30.24 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Overcast
51	1/8/1997 -- 6:51 PM	41.0 °F	23.0 °F	49%	30.23 in	10.0 mi	ENE	4.6 mph	  -	N/A	"	 "	Overcast
52	1/8/1997 -- 7:51 PM	41.0 °F	18.0 °F	40%	30.19 in	10.0 mi	East	5.8 mph	  -	N/A	"	 "	Overcast
53	1/8/1997 -- 8:51 PM	41.0 °F	17.1 °F	38%	30.14 in	10.0 mi	East	6.9 mph	  -	N/A	"	 "	Overcast
