	eGauge	Airport Code	Airport timezone	Distance between
0	eGauge1911	KDLL	America/Chicago	22.270969523
1	eGauge4336	KRDU	America/New_York	5.34233841246
2	BVSDMesa	KBDU	America/Denver	4.81667620212
3	eGauge4210	KBDU	America/Denver	4.45818290907
4	Easthampton(5731)	KBAF	America/New_York	6.67162073542
5	eGauge2727	KDNR	America/Denver	0.69266245489
6	eGauge4040	KBKL	America/New_York	5.08729897475
7	eGauge3167	KBFI	America/Los_Angeles	5.06251469363
8	Emmuneul (1473)	KBAF	America/New_York	9.59817241961
9	eGauge2965	KATT	America/Chicago	9.30689926802
10	eGauge2448	KBTV	America/New_York	30.4296649032
11	eGauge91	KBJC	America/Denver	4.23789469283
12	eGauge4226	KSAT	America/Chicago	6.21138067295
13	eGauge1975	KDNR	America/Denver	0.0816957969099
14	eGauge75	KBDU	America/Denver	3.1210100498
15	eGauge3173	KPAE	America/Los_Angeles	5.5230940113
16	eGauge2543	KBDU	America/Denver	2.08265445474
17	eGauge4025	KMSN	America/Chicago	8.29103383827
18	eGauge2851	NEJ	America/Los_Angeles	5.57214626859
19	Williamstown(18340) 	KAQW	America/New_York	2.99107877454
20	eGauge68	KWVI	America/Los_Angeles	12.2939930701
21	eGauge2066	KAPF	America/New_York	2.95409413812
22	eGauge3610	KSEW	America/Los_Angeles	5.12380700381
23	eGauge3842	KFNL	America/Denver	9.57519748204
24	BVSDHPeaks	KBDU	America/Denver	2.45722692239
25	eGauge114	KBDU	America/Denver	3.04337762842
26	eGauge3475	KPVW	America/Chicago	17.67055348
27	eGauge3611	NEJ	America/Los_Angeles	0.170686396931
28	eGauge49	KFNL	America/Denver	13.3923940599
29	eGauge3065	KDNR	America/Denver	1.44329862907
30	eGauge2966	KATT	America/Chicago	6.98803094577
31	eGauge3980	KMKT	America/Chicago	7.39520653515
32	SV-Erie-H	KEIK	America/Denver	2.73018412534
33	eGauge3067	C96	America/Chicago	6.3581071081
34	eGauge2715	KDNR	America/Denver	0.206856252574
35	eGauge2677	KALS	America/Denver	2.19876489263
36	Williamstown(20977) 	KAQW	America/New_York	2.99107877454
37	eGauge116	LRY	America/Denver	12.2849672256
38	eGauge63	KEIK	America/Denver	8.58530851064
39	eGauge3134	KEDC	America/Chicago	7.75281285044
40	BVSDARidge	KBDU	America/Denver	1.55404771186
41	eGauge2130	KATT	America/Chicago	7.14842913947
42	eGauge2701	KDNR	America/Denver	0.611863643913
43	eGauge2722	KDNR	America/Denver	0.80497418194
44	eGauge3923	KDNR	America/Denver	1.06940443518
45	eGauge3614	KAPA	America/Denver	9.09290971525
46	eGauge175	KEIK	America/Denver	3.6039183697
47	eGauge2850	KSEW	America/Los_Angeles	3.91114748274
48	eGauge1004	KNUQ	America/Los_Angeles	4.59188593645
49	eGauge2705	KAPA	America/Denver	8.2581196041
50	eGauge2714	KDNR	America/Denver	0.677346751014
51	egauge1760	KDNR	America/Denver	4.20099988269
52	egauge4025	KMSN	America/Chicago	8.29103383827
53	egauge1950	KDNR	America/Denver	0.618755539155
54	egauge4040	KBKL	America/New_York	5.08729897475
55	egauge3611	NEJ	America/Los_Angeles	0.170686396931
56	egauge1974	KBJC	America/Denver	4.08625077054
57	egauge1590	KEDC	America/Chicago	10.7449755225
58	egauge2850	KSEW	America/Los_Angeles	3.91114748274
59	egauge1955	KDNR	America/Denver	0.607302068131
60	egauge1956	KDNR	America/Denver	0.605891595397
61	egauge2722	KDNR	America/Denver	0.80497418194
62	egauge1953	KDNR	America/Denver	0.605390015255
63	egauge1965	KDNR	America/Denver	0.622428731181
64	egauge3923	KDNR	America/Denver	1.06940443518
65	egauge1008	KRHV	America/Los_Angeles	10.2631980753
66	egauge864	KSAT	America/Chicago	3.18825484682
67	egauge2701	KDNR	America/Denver	0.611863643913
68	egauge2677	KALS	America/Denver	2.19876489263
69	egauge2727	KDNR	America/Denver	0.69266245489
70	egauge1135	KADS	America/Chicago	0.126788369767
71	egauge2143	KRNT	America/Los_Angeles	8.72828055164
72	egauge2714	KDNR	America/Denver	0.677346751014
73	egauge2965	KATT	America/Chicago	9.30689926802
74	egauge63	KEIK	America/Denver	8.58530851064
75	egauge713	KNXX	America/New_York	2.03593435291
76	egauge3067	C96	America/Chicago	6.3581071081
77	egauge1962	KDNR	America/Denver	0.617757040404
78	egauge1072	KRNM	America/Los_Angeles	5.53110849002
79	egauge175	KEIK	America/Denver	3.6039183697
80	egauge3610	KSEW	America/Los_Angeles	5.12380700381
81	egauge2966	KATT	America/Chicago	6.98803094577
82	egauge2066	KAPF	America/New_York	2.95409413812
83	egauge10	KBDU	America/Denver	2.92987651678
84	egauge3065	KDNR	America/Denver	1.44329862907
85	egauge1736	KNFW	America/Chicago	7.28866963765
86	egauge3924	KDNR	America/Denver	1.14306824684
87	egauge1454	KATT	America/Chicago	1.98108054191
88	egauge1229	K1PW	America/Denver	29.6422128467
89	egauge3173	KPAE	America/Los_Angeles	5.5230940113
90	egauge15	KWVI	America/Los_Angeles	6.05258597093
91	egauge703	KGOP	America/Chicago	1.80195480151
92	egauge1000	KNUQ	America/Los_Angeles	6.77904683444
93	egauge2130	KATT	America/Chicago	7.14842913947
94	egauge4839	KEUG	America/Los_Angeles	9.57121027089
95	egauge1554	KBJC	America/Denver	1.74979652618
96	egauge13	KBJC	America/Denver	4.4487846999
97	egauge4336	KRDU	America/New_York	5.34233841246
98	egauge1723	PHIK	Pacific/Honolulu	4.47283214452
99	egauge950	KCHD	America/Phoenix	8.07172118855
100	egauge2543	KBDU	America/Denver	2.08265445474
101	egauge1751	KSAT	America/Chicago	9.18392150616
102	egauge123	KFMM	America/Denver	25.2983875295
103	egauge1004	KNUQ	America/Los_Angeles	4.59188593645
104	egauge1948	KDNR	America/Denver	0.621099417522
105	egauge1800	KRHV	America/Los_Angeles	5.80105310494
106	egauge114	KBDU	America/Denver	3.04337762842
107	egauge1009	KNUQ	America/Los_Angeles	3.66868513756
108	egauge121	KFMM	America/Denver	25.2983875295
109	egauge2145	KCPS	America/Chicago	4.00122586468
110	egauge235	KEIK	America/Denver	3.71309331851
111	egauge3842	KFNL	America/Denver	9.57519748204
112	egauge1805	KPAO	America/Los_Angeles	0.00819919489693
113	egauge49	KFNL	America/Denver	13.3923940599
114	egauge2705	KAPA	America/Denver	8.2581196041
115	egauge116	LRY	America/Denver	12.2849672256
