,eGauge,Airport Code,Airport timezone,Distance between
0,eGauge1911,KDLL,America/Chicago,22.270969523
1,eGauge4336,KRDU,America/New_York,5.34233841246
2,BVSDMesa,KBDU,America/Denver,4.81667620212
3,eGauge2727,KDNR,America/Denver,0.69266245489
4,eGauge4040,KBKL,America/New_York,5.08729897475
5,eGauge3167,KBFI,America/Los_Angeles,5.06251469363
6,eGauge2965,KATT,America/Chicago,9.30689926802
7,eGauge2448,KBTV,America/New_York,30.4296649032
8,eGauge3173,KPAE,America/Los_Angeles,5.5230940113
9,eGauge2543,KBDU,America/Denver,2.08265445474
10,eGauge2851,NEJ,America/Los_Angeles,5.57214626859
11,eGauge68,KWVI,America/Los_Angeles,12.2939930701
12,eGauge2066,KAPF,America/New_York,2.95409413812
13,eGauge3610,KSEW,America/Los_Angeles,5.12380700381
14,eGauge3842,KFNL,America/Denver,9.57519748204
15,eGauge114,KBDU,America/Denver,3.04337762842
16,eGauge3611,NEJ,America/Los_Angeles,0.170686396931
17,eGauge49,KFNL,America/Denver,13.3923940599
18,eGauge3065,KDNR,America/Denver,1.44329862907
19,eGauge2966,KATT,America/Chicago,6.98803094577
20,eGauge3980,KMKT,America/Chicago,7.39520653515
21,SV-Erie-H,KEIK,America/Denver,2.73018412534
22,eGauge3067,C96,America/Chicago,6.3581071081
23,eGauge2715,KDNR,America/Denver,0.206856252574
24,eGauge116,LRY,America/Denver,12.2849672256
25,eGauge63,KEIK,America/Denver,8.58530851064
26,eGauge2130,KATT,America/Chicago,7.14842913947
27,eGauge2701,KDNR,America/Denver,0.611863643913
28,eGauge3923,KDNR,America/Denver,1.06940443518
29,eGauge3614,KAPA,America/Denver,9.09290971525
30,eGauge175,KEIK,America/Denver,3.6039183697
31,eGauge2850,KSEW,America/Los_Angeles,3.91114748274
32,eGauge1004,KNUQ,America/Los_Angeles,4.59188593645
33,eGauge2705,KAPA,America/Denver,8.2581196041
34,eGauge2714,KDNR,America/Denver,0.677346751014
35,egauge1974,KBJC,America/Denver,4.08625077054
36,egauge1590,KEDC,America/Chicago,10.7449755225
37,egauge1955,KDNR,America/Denver,0.607302068131
38,egauge1956,KDNR,America/Denver,0.605891595397
39,egauge2722,KDNR,America/Denver,0.80497418194
40,egauge1953,KDNR,America/Denver,0.605390015255
41,egauge1965,KDNR,America/Denver,0.622428731181
42,egauge1008,KRHV,America/Los_Angeles,10.2631980753
43,egauge864,KSAT,America/Chicago,3.18825484682
44,egauge1135,KADS,America/Chicago,0.126788369767
45,egauge2143,KRNT,America/Los_Angeles,8.72828055164
46,egauge713,KNXX,America/New_York,2.03593435291
47,egauge1962,KDNR,America/Denver,0.617757040404
48,egauge1072,KRNM,America/Los_Angeles,5.53110849002
49,egauge10,KBDU,America/Denver,2.92987651678
50,egauge1736,KNFW,America/Chicago,7.28866963765
51,egauge3924,KDNR,America/Denver,1.14306824684
52,egauge1454,KATT,America/Chicago,1.98108054191
53,egauge1229,K1PW,America/Denver,29.6422128467
54,egauge15,KWVI,America/Los_Angeles,6.05258597093
55,egauge703,KGOP,America/Chicago,1.80195480151
56,egauge1000,KNUQ,America/Los_Angeles,6.77904683444
57,egauge4839,KEUG,America/Los_Angeles,9.57121027089
58,egauge1554,KBJC,America/Denver,1.74979652618
59,egauge13,KBJC,America/Denver,4.4487846999
60,egauge1723,PHIK,Pacific/Honolulu,4.47283214452
61,egauge950,KCHD,America/Phoenix,8.07172118855
62,egauge1751,KSAT,America/Chicago,9.18392150616
63,egauge123,KFMM,America/Denver,25.2983875295
64,egauge1948,KDNR,America/Denver,0.621099417522
65,egauge1800,KRHV,America/Los_Angeles,5.80105310494
66,egauge1009,KNUQ,America/Los_Angeles,3.66868513756
67,egauge121,KFMM,America/Denver,25.2983875295
68,egauge2145,KCPS,America/Chicago,4.00122586468
69,egauge235,KEIK,America/Denver,3.71309331851
70,egauge1805,KPAO,America/Los_Angeles,0.00819919489693
71,egauge1230,KBJC,America/Denver,11.4038631878
72,egauge2141,KSAT,America/Chicago,8.76364048438
73,egauge500,KBDU,America/Denver,11.9763271206
74,egauge2375,KTLH,America/New_York,5.04606376664
75,egauge1420,KAUS,America/Chicago,11.372318787
76,egauge4838,KEUG,America/Los_Angeles,9.57121027089
77,egauge140,KBDU,America/Denver,4.77217192922
78,egauge1333,S19,America/Los_Angeles,6.23529061912
79,egauge1532,KRHV,America/Los_Angeles,4.33334825369
80,egauge117,ZLIC,Asia/Chongqing,115.183239534
81,egauge1625,KDAL,America/Chicago,9.4181912102
82,egauge766,KBJC,America/Denver,3.76023639707
83,egauge1891,KABH,America/Denver,15.0501476809
84,egauge804,PHOG,Pacific/Honolulu,3.90905461951
85,egauge1760,KDNR,America/Denver,4.20099988269
