Homes,Earliest Record
egauge2722,1336068000
eGauge1911,1322503200
egauge1953,1316671200
eGauge4336,1354320000
egauge1965,1339430400
egauge1008,1300215600
BVSDMesa,1208275200
egauge864,1296673200
eGauge2727,1344279600
egauge1135,1308934800
eGauge4040,1354824000
egauge2143,1323738000
eGauge3167,1342465200
egauge713,1293130800
eGauge2965,1338825600
egauge1962,1317168000
egauge1072,1303455600
eGauge2448,1334602800
eGauge3173,1348272000
egauge10,1384286400
eGauge2543,1336593600
egauge1736,1319133600
eGauge2851,1347411600
egauge3924,1355191200
egauge1454,1294700400
eGauge68,1253286000
egauge1229,1308592800
eGauge2066,1327694400
eGauge3610,1347400800
egauge15,1231664400
egauge703,1281538800
egauge1000,1306224000
egauge4839,1355356800
egauge1554,1322006400
egauge13,1442437200
eGauge3842,1349384400
egauge1723,1330034400
egauge950,1305849600
eGauge114,1262026800
egauge1751,1326308400
eGauge3611,1351105200
egauge123,1323468000
eGauge49,1249686000
egauge1948,1324105200
egauge1800,1320357600
eGauge3065,1351810800
egauge1009,1294876800
eGauge2966,1349989200
eGauge3980,1349812800
egauge121,1261422000
SV-Erie-H,1360047600
egauge2145,1336413600
eGauge3067,1338418800
egauge235,1281636000
egauge1805,1325188800
eGauge2715,1349474400
eGauge116,1262199600
egauge1230,1308074400
eGauge63,1254877200
eGauge2130,1332046800
eGauge2701,1344362400
egauge2141,1339707600
eGauge3923,1349737200
egauge500,1279558800
eGauge3614,1350169200
egauge2375,1332367200
eGauge175,1265220000
egauge1420,1310313600
eGauge2850,1347051600
eGauge1004,1302026400
egauge4838,1357167600
eGauge2705,1352224800
egauge140,1262350800
eGauge2714,1349373600
egauge1333,1325700000
egauge1532,1314079200
egauge117,1262797200
egauge1625,1317679200
egauge766,1280988000
egauge1891,1328382000
egauge804,1280941200
egauge1760,1303516800
egauge1974,1317168000
egauge1590,1316880000
egauge1955,1316671200
egauge1956,1340049600
